Cross Validation is off.
TRAINING - Epoch #1 Error:1.8191882642693542
TRAINING - Epoch #2 Error:1.7378879504891096
TRAINING - Epoch #3 Error:1.4238862430350956
TRAINING - Epoch #4 Error:1.4760356233166447
TRAINING - Epoch #5 Error:1.6281777917221623
TRAINING - Epoch #6 Error:1.578581798086115
TRAINING - Epoch #7 Error:1.1754146041996385
TRAINING - Epoch #8 Error:1.2956447712885104
TRAINING - Epoch #9 Error:1.3655561894709394
TRAINING - Epoch #10 Error:0.9561778675620488
TRAINING - Epoch #11 Error:1.1315996335195992
TRAINING - Epoch #12 Error:0.9105094857214168
TRAINING - Epoch #13 Error:0.9647817383760299
TRAINING - Epoch #14 Error:0.9179497000455622
TRAINING - Epoch #15 Error:0.8842809654718042
TRAINING - Epoch #16 Error:0.8919677787837063
TRAINING - Epoch #17 Error:0.8641924873215151
TRAINING - Epoch #18 Error:0.8576686581508767
TRAINING - Epoch #19 Error:0.8499808998674556
TRAINING - Epoch #20 Error:0.8365933494802174
TRAINING - Epoch #21 Error:0.8268859806371255
TRAINING - Epoch #22 Error:0.8169704432631217
TRAINING - Epoch #23 Error:0.8086835550435104
TRAINING - Epoch #24 Error:0.8014791548959114
TRAINING - Epoch #25 Error:0.7932059748290423
TRAINING - Epoch #26 Error:0.7839527552788751
TRAINING - Epoch #27 Error:0.7738323791676648
TRAINING - Epoch #28 Error:0.7631327527961785
TRAINING - Epoch #29 Error:0.7526888275609537
TRAINING - Epoch #30 Error:0.7420987744476779
TRAINING - Epoch #31 Error:0.7380939816111844
TRAINING - Epoch #32 Error:0.7313280096083391
TRAINING - Epoch #33 Error:0.7264679256520307
TRAINING - Epoch #34 Error:0.7194259490574288
TRAINING - Epoch #35 Error:0.715165857447651
TRAINING - Epoch #36 Error:0.709267999740097
TRAINING - Epoch #37 Error:0.7042866338985886
TRAINING - Epoch #38 Error:0.6994654701811333
TRAINING - Epoch #39 Error:0.6934707500144691
TRAINING - Epoch #40 Error:0.6871115131073314
TRAINING - Epoch #41 Error:0.6807901925313026
TRAINING - Epoch #42 Error:0.6745882208765076
TRAINING - Epoch #43 Error:0.6685872010703601
TRAINING - Epoch #44 Error:0.6627946242375141
TRAINING - Epoch #45 Error:0.6557599875121322
TRAINING - Epoch #46 Error:0.6527483836282113
TRAINING - Epoch #47 Error:0.6517318029320722
TRAINING - Epoch #48 Error:0.6448183951016828
TRAINING - Epoch #49 Error:0.6430262951270135
TRAINING - Epoch #50 Error:0.639043685152009
TRAINING - Epoch #51 Error:0.6355104604673123
TRAINING - Epoch #52 Error:0.6315127300510676
TRAINING - Epoch #53 Error:0.6271732042665323
TRAINING - Epoch #54 Error:0.6228245840536233
TRAINING - Epoch #55 Error:0.6174901406002599
TRAINING - Epoch #56 Error:0.6119255205810421
TRAINING - Epoch #57 Error:0.606745896238314
TRAINING - Epoch #58 Error:0.6011773123587482
TRAINING - Epoch #59 Error:0.5958501072537903
TRAINING - Epoch #60 Error:0.5935146276602642
TRAINING - Epoch #61 Error:0.593166473683108
TRAINING - Epoch #62 Error:0.5900973495338202
TRAINING - Epoch #63 Error:0.588464045733318
TRAINING - Epoch #64 Error:0.5850240234929519
TRAINING - Epoch #65 Error:0.5811962260900424
TRAINING - Epoch #66 Error:0.5770659614496023
TRAINING - Epoch #67 Error:0.5728707641818861
TRAINING - Epoch #68 Error:0.5687163695576473
TRAINING - Epoch #69 Error:0.5637261432856023
TRAINING - Epoch #70 Error:0.5582024034009007
TRAINING - Epoch #71 Error:0.5519575910384701
TRAINING - Epoch #72 Error:0.5450381192733141
TRAINING - Epoch #73 Error:0.5409479153903182
TRAINING - Epoch #74 Error:0.5430719255402271
TRAINING - Epoch #75 Error:0.536818388632506
TRAINING - Epoch #76 Error:0.5340281721874592
TRAINING - Epoch #77 Error:0.5301903625665773
TRAINING - Epoch #78 Error:0.5257841888298892
TRAINING - Epoch #79 Error:0.5209624797556398
TRAINING - Epoch #80 Error:0.5161703987806647
TRAINING - Epoch #81 Error:0.5115385283053647
TRAINING - Epoch #82 Error:0.5089808716544195
TRAINING - Epoch #83 Error:0.5078046957162304
